Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm)
CA0710100004HYUS2,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0710100146HYUS2P,"HY","297","Fluvalinate","O",0.0019,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0710100151HYUS2P,"HY","124","Coumaphos","C",0.0015,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0710100406HYUS2P,"HY","297","Fluvalinate","O",0.0026,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0710100514HYUS2,"HY","297","Fluvalinate","O",0.0025,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0710100549HYUS2,"HY","529","Vinclozolin","A",0.0107,0.001,"M","GN","","V","SM","O","821","72","NT"
CA0710100560HYUS2,"HY","254","Dicofol p,p'","A",0.0013,0.001,"M","GN","","V","SM","O","821","72","NT"
CA0710100561HYUS2,"HY","124","Coumaphos","C",0.0014,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0710100561HYUS2,"HY","297","Fluvalinate","O",0.0067,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0710100561HYUS2,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0058,0.004,"M","M","","","SM","O","821","07","1"
CA0711140004HYUS2,"HY","124","Coumaphos","C",0.0012,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0711140142HYUS2P,"HY","254","Dicofol p,p'","A",0.0036,0.001,"M","GN","","V","SM","O","821","72","NT"
CA0711140329HYUS2,"HY","124","Coumaphos","C",0.0111,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0711140329HYUS2,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0275,0.004,"M","M","","","SM","O","821","07","1"
CA0711140406HYUS2P,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.005,0.004,"M","M","","","SM","O","821","07","1"
CA0711140515HYUS2,"HY","297","Fluvalinate","O",0.0011,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0711140548HYUS2,"HY","529","Vinclozolin","A",0.0106,0.001,"M","GN","","V","SM","O","821","72","NT"
CA0712050001HYUS2,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0712050001HYUS2,"HY","297","Fluvalinate","O",0.0018,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0712050142HYUS2P,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0049,0.004,"M","M","","","SM","O","821","07","1"
CA0712050151HYUS2P,"HY","124","Coumaphos","C",0.0014,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0712050152HYUS2P,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0712050406HYUS2P,"HY","124","Coumaphos","C",0.0017,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0712050484HYUS2,"HY","124","Coumaphos","C",0.0052,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0712050564HYUS2,"HY","124","Coumaphos","C",0.0018,0.001,"M","GN","","","SM","O","821","72","0.15"
CO0710010001HYUS2,"HY","254","Dicofol p,p'","A",0.0021,0.001,"M","GN","","V","SM","O","821","72","NT"
CO0711050009HYUS2,"HY","297","Fluvalinate","O",0.0011,0.001,"M","GN","","","SM","O","821","72","0.05"
FL0710080055HYUS2P,"HY","124","Coumaphos","C",0.0018,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0710080056HYUS2P,"HY","124","Coumaphos","C",0.0012,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0711090023HYUS2P,"HY","124","Coumaphos","C",0.0014,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0711090023HYUS2P,"HY","297","Fluvalinate","O",0.001,0.001,"M","GN","","","SM","O","821","72","0.05"
FL0711130029HYUS2P,"HY","124","Coumaphos","C",0.001,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0711130064HYUS2P,"HY","124","Coumaphos","C",0.001,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0711130064HYUS2P,"HY","297","Fluvalinate","O",0.0022,0.001,"M","GN","","","SM","O","821","72","0.05"
FL0711130066HYUS2P,"HY","124","Coumaphos","C",0.0014,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0711130066HYUS2P,"HY","297","Fluvalinate","O",0.0027,0.001,"M","GN","","","SM","O","821","72","0.05"
FL0711130067HYUS2,"HY","124","Coumaphos","C",0.0014,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0712100001HYUS2P,"HY","124","Coumaphos","C",0.0018,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0712100002HYUS2P,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0712100009HYUS2P,"HY","124","Coumaphos","C",0.0012,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0712100025HYUS2,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0712100066HYUS2,"HY","124","Coumaphos","C",0.0014,0.001,"M","GN","","","SM","O","821","72","0.15"
MD0710110005HYUS2,"HY","124","Coumaphos","C",0.001,0.001,"M","GN","","","SM","O","821","72","0.15"
MD0710110005HYUS2,"HY","297","Fluvalinate","O",0.001,0.001,"M","GN","","","SM","O","821","72","0.05"
MD0710110039HYUS2,"HY","297","Fluvalinate","O",0.0011,0.001,"M","GN","","","SM","O","821","72","0.05"
MD0711140001HYUS2,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
MD0711140005HYUS2,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
MD0712050005HYUS2,"HY","124","Coumaphos","C",0.0012,0.001,"M","GN","","","SM","O","821","72","0.15"
MI0710090008HYUS2,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
MI0710090056HYUS2P,"HY","124","Coumaphos","C",0.0015,0.001,"M","GN","","","SM","O","821","72","0.15"
MI0710090056HYUS2P,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0092,0.004,"M","M","","","SM","O","821","07","1"
MI0710090084HYUS2,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
MI0710090084HYUS2,"HY","297","Fluvalinate","O",0.0017,0.001,"M","GN","","","SM","O","821","72","0.05"
