Sample ID,Commodity,Pesticide Code,Pesticide Name,Concentration,LOD,pp_,Annotate,Quantitate,Mean,Commodity Type,Variety,Commodity Claim,Facility Type,Origin,Country,State,Quantity,EPA Tolerance (ppm)
"CA0710100004HYUS2","HY","124","Coumaphos","0.0011","0.001","M","","SM","O","RE","Clover","NC","R","1","","KS","","0.15"
"CA0710100146HYUS2P","HY","297","Fluvalinate","0.0019","0.001","M","","SM","O","RE","Clover","NC","R","1","","ID","","0.05"
"CA0710100406HYUS2P","HY","297","Fluvalinate","0.0026","0.001","M","","SM","O","RE","Pure Clover","NC","R","1","","OH","","0.05"
"CA0710100514HYUS2","HY","297","Fluvalinate","0.0025","0.001","M","","SM","O","RE","Clover Honey","NC","R","1","","IA","","0.05"
"CA0710100560HYUS2","HY","254","Dicofol p,p'","0.0013","0.001","M","V","SM","O","RE","Clover: Us Grade A","NC","R","1","","IA","","NT"
"CA0710100561HYUS2","HY","124","Coumaphos","0.0014","0.001","M","","SM","O","RE","Clover","NC","R","1","","CA","","0.15"
"CA0710100561HYUS2","HY","297","Fluvalinate","0.0067","0.001","M","","SM","O","RE","Clover","NC","R","1","","CA","","0.05"
"CA0710100561HYUS2","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0058","0.004","M","","SM","O","RE","Clover","NC","R","1","","CA","","1"
"CA0711140004HYUS2","HY","124","Coumaphos","0.0012","0.001","M","","SM","O","RE","Pure Honey","NC","R","1","","CA","","0.15"
"CA0711140142HYUS2P","HY","254","Dicofol p,p'","0.0036","0.001","M","V","SM","O","RE","Clover","NC","R","1","","ID","","NT"
"CA0711140329HYUS2","HY","124","Coumaphos","0.0111","0.001","M","","SM","O","RE","Mixed Floral Lt. Amb","NC","L","1","","CA","","0.15"
"CA0711140329HYUS2","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.0275","0.004","M","","SM","O","RE","Mixed Floral Lt. Amb","NC","L","1","","CA","","1"
"CA0711140406HYUS2P","HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","0.005","0.004","M","","SM","O","RE","Clover","NC","R","1","","OH","","1"
"CA0711140515HYUS2","HY","297","Fluvalinate","0.0011","0.001","M","","SM","O","RE","Clover","NC","R","1","","IA","","0.05"
