,Year,State,Commodity,Data Type,Value
0,2019,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2812000
1,2018,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2828000
2,2017,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2684000
3,2016,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2780000
4,2015,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2661000
5,2014,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2741000
6,2013,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2641000
7,2012,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2539000
8,2011,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2491000
9,2010,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2692000
10,2009,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2498000
11,2008,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2342000
12,2007,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2443000
13,2006,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2394000
14,2005,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2409000
15,2004,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2554000
16,2003,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2599000
17,2002,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2574000
18,2001,US TOTAL,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2550000
